,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1983,0.0,7.0,4.0,4.0,4.0,3.0,2800.0,1.0,1.0,1.0,0.0,0.0,2.52
1984,1.0,23.0,1.0,1.0,0.0,0.0,900.0,0.0,0.0,0.0,1.0,1.0,0.7
1985,0.0,5.0,3.0,4.0,4.0,3.0,1748.0,1.0,0.0,1.0,2.0,0.0,1.75
1986,1.0,50.0,5.0,5.0,4.0,3.0,3400.0,0.0,0.0,0.0,1.0,2.0,3.75
1987,1.0,51.0,4.0,4.0,2.0,0.0,4500.0,1.0,0.0,0.0,0.0,1.0,15.0
1988,1.0,87.0,3.0,3.0,2.0,1.0,1700.0,0.0,0.0,0.0,2.0,2.0,1.4
1989,1.0,73.0,10.0,5.0,3.0,2.0,2700.0,1.0,0.0,0.0,1.0,1.0,2.4
1990,0.0,16.0,2.0,2.0,3.0,3.0,2441.0,0.0,0.0,0.0,0.0,2.0,2.6
1991,0.0,64.0,2.0,2.0,2.0,1.0,1365.0,1.0,0.0,0.0,2.0,0.0,2.1
1992,0.0,92.0,2.0,2.0,1.0,1.0,557.0,0.0,0.0,0.0,2.0,2.0,0.43
1993,0.0,51.0,3.0,4.0,4.0,2.0,2819.0,1.0,0.0,1.0,2.0,2.0,3.25
1994,1.0,47.0,8.0,6.0,4.0,0.0,3240.0,1.0,0.0,1.0,1.0,2.0,8.81
1995,0.0,36.0,1.0,1.0,1.0,3.0,436.0,0.0,0.0,0.0,1.0,2.0,0.4
1996,0.0,67.0,4.0,4.0,3.0,3.0,2194.0,1.0,0.0,0.0,1.0,2.0,2.85
1997,1.0,44.0,5.0,5.0,2.0,2.0,3323.0,1.0,0.0,0.0,1.0,2.0,9.85
1998,0.0,97.0,3.0,4.0,4.0,2.0,1608.0,1.0,0.0,2.0,1.0,1.0,1.25
1999,0.0,64.0,3.0,3.0,3.0,1.0,2876.0,1.0,0.0,1.0,1.0,0.0,3.95
2000,0.0,31.0,2.0,2.0,4.0,0.0,1050.0,0.0,0.0,1.0,0.0,0.0,1.24
2001,0.0,96.0,4.0,4.0,4.0,0.0,2580.0,0.0,0.0,0.0,1.0,2.0,1.3
2002,1.0,28.0,5.0,4.0,3.0,2.0,1350.0,0.0,0.0,0.0,1.0,2.0,4.31
2003,0.0,99.0,3.0,2.0,3.0,0.0,1333.0,0.0,0.0,1.0,1.0,2.0,0.6
2004,0.0,67.0,3.0,3.0,3.0,1.0,1828.0,0.0,0.0,0.0,1.0,0.0,3.29
2005,1.0,18.0,6.0,6.0,2.0,2.0,2228.0,0.0,0.0,0.0,1.0,1.0,2.75
2006,0.0,51.0,3.0,3.0,4.0,0.0,2357.0,1.0,0.0,0.0,2.0,2.0,2.7
2007,0.0,72.0,3.0,3.0,2.0,3.0,1325.0,0.0,0.0,2.0,0.0,1.0,1.51
